,Entropy_obs,Entropy_fine,MI_obs,MI_fine,RMSE_obs,RMSE_fine,Entropy_obs_std,Entropy_fine_std,MI_obs_std,MI_fine_std,RMSE_obs_std,RMSE_fine_std,Entropy_target,Entropy_target_std,MI_exp1,MI_exp1_std,RMSE_exp1,RMSE_exp1_std
0_bias,6.60654381602144,6.606267556363606,1.2278536869423886,1.3218552293995336,113.10468472232644,109.95703431451544,0.0005554729756457527,0.0006290578542083268,0.03323755173632266,0.034857633035108894,3.9631157743012233,4.254182601343312,3.9151827939526123,0.07211541558232756,1.240488839306738,0.024676878528814464,141.615441651578,5.870668124069232
2,6.606498891725708,6.606706847883128,1.2380969757133138,1.2480553740633662,122.55968604916018,119.2948796795346,0.0005554032834312984,0.0004899947887195952,0.02956989282240134,0.03787455127712617,4.311040024911331,4.302730932930663,,,,,,
4,6.606658650504355,6.606558059598737,1.3014647084367144,1.3003794647802613,124.6728030437649,124.89059177708255,0.0005330004507382286,0.0004253479437604456,0.02593408929068305,0.03623515995128085,5.6314431798943705,5.464470316970362,,,,,,
6,6.606601978956174,6.606688524878169,1.201455546286356,1.2134674457406005,134.46701783227132,135.48001274382426,0.0004660443863122334,0.0004844758104811079,0.029759687518372952,0.038970644997321134,5.246931849918674,5.664487764498519,,,,,,
8,6.606433547402952,6.606485384059219,1.2285033141025659,1.216194397640223,143.0262684872157,143.43843267858173,0.0004948178314758049,0.0004137376101009068,0.025498208254464392,0.029371139882557924,6.174573926179343,6.764737299253275,,,,,,
10,6.60668889083443,6.606606361011176,1.2209992695266185,1.2140678356809593,143.67267508964787,140.83756755346104,0.00037872699750372325,0.000431340200642252,0.03690297648700341,0.03428464556111974,5.720963631299488,6.003482360008069,,,,,,
